ID,Aware_M,Aware_P,Aware_T,Aware_B,Aware_MV,Strong_M,Strong_P,Strong_T,Strong_B,Strong_MV,Known_M,Known_P,Known_T,Known_B,Known_MV,Attr_M,Attr_P,Attr_T,Attr_B,Attr_MV,Dr_1,Dr_2,Dr_3,Dr_4,Dr_5,Dr_6,Dr_7,Dr_8,Dr_9,Dr_10,Dr_11,Dr_12,Dr_13,Dr_14,Dr_15,HowLong,NPS,Prod_data,Prod_sms,Prod_call,Prod_extra,Prod_other,Cont_winkel,Cont_tel,Cont_mail,Cont_social,Cont_web,Gender,Age,Dr_12r,F_pricevalue,F_productquality,F_innovativeness,F_CRM,F_community,,,,,,,
R_cU9fiYg8YDhx8od,4,1,1,3,5,4,#NULL!,#NULL!,5,5,7,#NULL!,#NULL!,7,5,2,#NULL!,#NULL!,3,6,3,1,7,1,7,7,7,3,5,4,6,1,5,3,6,4,9,5,4,2,1,#NULL!,1,1,3,7,7,0,22,7,7.00,6.50,4.67,2.00,2.00,,,,,,,
R_1ImgiHVenleueMZ,3,4,3,3,5,6,6,7,6,7,7,7,7,7,6,6,6,7,6,7,6,6,7,7,7,7,7,4,5,4,5,3,6,7,7,4,8,4,5,3,2,1,4,4,5,5,5,1,24,5,7.00,5.00,6.67,5.50,6.00,,,,,,,
R_dmOcWEE73UxggcJ,4,3,2,2,5,6,6,5,3,6,6,6,7,5,3,4,5,4,4,6,4,7,6,2,6,7,6,2,6,5,5,5,6,6,7,5,9,4,3,2,5,1,2,4,7,3,6,0,22,3,6.33,4.00,6.33,2.00,5.50,,,,,,,
R_20oXldC3QF0Rjpj,3,5,2,2,5,6,6,6,5,7,7,7,6,6,3,4,4,6,6,7,5,4,5,6,6,6,7,6,6,7,6,1,7,7,6,4,10,4,2,5,3,1,3,6,7,3,6,1,34,7,6.33,6.50,6.67,6.00,4.50,,,,,,,
R_0p2dgEjzdOu5fb7,4,4,4,4,5,4,5,4,4,6,7,7,6,6,5,6,6,4,5,6,3,6,3,5,7,7,7,7,7,7,5,2,6,6,6,5,10,5,3,2,4,1,3,3,6,6,6,0,18,6,7.00,5.50,6.00,6.00,4.50,,,,,,,
R_6WnTEdCL6VcNRGd,4,3,2,3,5,3,4,4,5,7,6,6,6,6,3,3,4,4,4,7,6,6,5,5,6,7,7,6,5,6,5,2,6,5,7,3,8,5,4,3,2,#NULL!,3,1,5,5,5,1,24,6,6.67,5.50,6.00,5.50,6.00,,,,,,,
R_bqoy88wcBTw6nU9,4,4,4,4,5,6,6,6,6,6,6,7,6,6,5,3,4,5,6,7,5,6,7,7,6,6,7,6,6,6,7,2,7,7,7,4,10,4,5,3,2,1,3,3,5,7,5,0,21,6,6.33,6.50,7.00,6.50,5.50,,,,,,,
R_5hFBQQHUPmiHh8F,4,5,1,2,5,3,5,#NULL!,4,7,6,7,#NULL!,5,6,5,6,#NULL!,5,7,4,5,6,5,5,6,6,6,6,5,5,2,7,5,5,5,10,4,5,3,2,1,3,5,5,6,5,1,25,6,5.67,5.50,5.67,5.50,4.50,,,,,,,
R_3q11mJbZ0ToUwdv,4,2,2,4,5,4,6,5,5,4,6,6,6,6,4,4,4,4,4,6,4,3,6,4,7,7,7,6,5,4,6,1,4,6,6,4,10,5,4,2,3,1,5,5,5,4,4,1,27,7,7.00,6.50,5.33,5.00,3.50,,,,,,,
R_cSnlerOOu8i8jel,5,3,4,3,5,7,7,6,6,6,7,7,7,6,5,5,5,5,5,7,2,1,5,6,6,5,5,5,4,6,5,6,5,5,5,4,6,4,5,2,3,1,1,1,4,5,7,0,22,2,5.33,3.50,5.00,5.50,1.50,,,,,,,
R_6mO5LYVyPiBSv2d,2,4,4,2,4,5,6,6,4,6,6,6,6,6,6,5,6,5,5,6,4,3,5,5,5,6,6,6,5,3,4,3,6,5,6,2,9,4,5,3,2,1,4,6,6,6,6,1,27,5,5.67,4.50,5.67,5.50,3.50,,,,,,,
R_d0xklnkLUlHZjhj,1,5,2,2,5,#NULL!,6,5,4,5,#NULL!,7,7,7,5,#NULL!,7,6,5,7,1,1,7,7,7,6,7,4,4,5,6,2,6,5,6,3,9,4,5,3,2,1,6,3,7,7,7,1,21,6,6.67,6.00,5.67,5.50,1.00,,,,,,,
R_emS26fRQw3zeBKd,3,4,4,3,5,6,7,7,6,6,7,7,7,7,6,5,7,7,5,7,4,6,4,6,6,6,6,6,5,6,5,2,6,4,6,5,8,3,1,4,2,5,4,3,6,6,4,0,25,6,6.00,5.50,5.33,6.00,5.00,,,,,,,
R_5axn1Q7EOCOHcmp,5,5,5,5,5,5,5,2,6,7,6,7,6,6,7,6,7,5,6,7,5,6,7,3,7,6,7,4,7,5,7,2,5,6,6,6,10,3,4,2,5,1,2,2,7,5,7,1,25,6,6.67,6.50,5.67,3.50,5.50,,,,,,,
R_5tY7G3EhgnC0KuF,4,3,3,3,4,6,6,6,5,7,7,7,6,4,5,6,6,6,5,7,2,5,6,5,6,6,6,4,7,6,5,6,6,6,5,3,8,5,4,2,3,1,7,6,6,7,5,1,24,2,6.00,3.50,5.67,4.50,3.50,,,,,,,
R_56FOCQevfmf5in3,4,2,4,2,5,7,7,6,7,7,7,7,7,7,3,6,6,6,6,7,4,5,6,6,6,7,6,6,6,6,7,1,7,6,6,4,9,5,4,2,3,1,4,3,6,4,6,1,25,7,6.33,7.00,6.33,6.00,4.50,,,,,,,
R_9txJAumLQwzXht3,4,4,4,4,4,6,6,5,5,6,7,7,5,7,6,5,5,6,6,6,4,4,5,4,5,5,5,4,5,5,3,3,5,6,6,4,8,3,4,5,2,1,2,2,5,4,6,0,27,5,5.00,4.00,5.67,4.00,4.00,,,,,,,
R_0xf23BAiB7S4BsF,4,2,2,5,5,6,6,4,6,5,7,7,5,6,5,6,3,3,3,5,5,4,6,6,5,3,6,3,5,5,3,5,6,6,5,5,6,5,3,4,2,1,2,3,3,5,5,1,23,3,4.67,3.00,5.67,4.50,4.50,,,,,,,
R_3WPEWVz9SLdn0Vv,4,4,1,4,5,5,6,#NULL!,6,1,6,6,#NULL!,6,1,5,2,#NULL!,7,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,5,4,0,5,3,4,1,2,4,1,1,1,1,1,25,1,1.00,1.00,2.33,1.00,1.00,,,,,,,
R_bfnN5JRFYcjkTjv,3,3,2,2,4,4,5,3,4,5,6,6,6,6,3,3,3,5,3,5,4,6,6,4,6,5,5,5,6,4,5,3,4,4,5,6,9,5,4,2,3,1,1,1,3,6,7,0,20,5,5.33,5.00,4.33,4.50,5.00,,,,,,,
R_0e6Cews9TUTwe0Z,5,5,5,5,5,3,7,6,3,3,6,7,7,6,5,3,6,6,3,5,5,5,6,7,5,6,6,7,6,6,7,6,6,6,6,7,8,5,3,2,4,1,6,7,7,5,6,0,29,2,5.67,4.50,6.00,7.00,5.00,,,,,,,
R_eOMD2iJjTl3fTox,1,1,2,1,4,#NULL!,#NULL!,7,#NULL!,5,#NULL!,#NULL!,7,#NULL!,5,#NULL!,#NULL!,7,#NULL!,7,5,6,7,6,3,4,6,6,6,6,6,5,5,5,5,4,7,4,5,3,2,1,5,1,6,6,5,0,24,3,4.33,4.50,5.00,6.00,5.50,,,,,,,
R_86oixSK5w8Q9ZrL,3,2,2,1,5,2,2,3,#NULL!,6,7,5,6,#NULL!,2,3,2,4,#NULL!,6,4,4,6,4,7,7,6,6,6,6,6,2,6,7,7,4,10,4,5,3,2,#NULL!,5,5,7,3,7,1,21,6,6.67,6.00,6.67,5.00,4.00,,,,,,,
R_bg7Ul8TptuMyYOF,4,5,3,3,5,5,5,5,5,5,7,7,7,7,5,3,3,3,3,6,5,6,4,5,4,4,5,6,5,4,6,6,6,5,5,4,7,1,5,3,2,4,5,4,7,4,6,1,29,2,4.33,4.00,5.33,5.50,5.50,,,,,,,
R_23mbyOnlds0fBbv,4,4,4,4,4,4,5,5,3,5,7,7,7,7,3,4,5,5,3,5,4,3,4,3,6,4,4,2,2,4,3,5,4,3,4,3,9,5,3,4,2,1,4,6,7,4,7,1,30,3,4.67,3.00,3.67,2.50,3.50,,,,,,,
R_eeZ96zSUGQoZBB3,5,5,4,4,5,7,7,7,7,7,7,7,7,7,1,1,1,7,1,7,1,7,7,7,7,7,7,7,7,7,7,1,7,5,6,5,10,5,3,4,2,#NULL!,1,1,7,7,7,0,25,7,7.00,7.00,6.00,7.00,4.00,,,,,,,
